00450003     	61001	11	Group 11 - FII	27	Sales to Other FASTSIGNS	.00	722.80	.00	.00	.00	.00	720.80	.00	722.80	722.80	USD   	20190603
00450003     	61001	12	Group 12 - NAC	28	Sales to Other FASTSIGNS Marketing Fund	.00	722.80	.00	.00	.00	.00	720.80	.00	722.80	722.80	USD   	20190603
02360002     	174101	7	Group 7 - FII	17	Standard	1219.00	1210.00	.00	.00	.00	85.33	2054.00	123.24	2429.00	2514.33	USD   	20190603
02360002     	174101	7	Group 7 - FII	18	Exempt	1219.00	1210.00	.00	.00	.00	85.33	375.00	.00	2429.00	2514.33	USD   	20190603
02360002     	174101	8	Group 8 - NAC	21	Standard Marketing Fund	1219.00	1210.00	.00	.00	.00	85.33	2054.00	41.08	2429.00	2514.33	USD   	20190603
02360002     	174101	8	Group 8 - NAC	22	Exempt	1219.00	1210.00	.00	.00	.00	85.33	375.00	.00	2429.00	2514.33	USD   	20190603
02550002     	291801	7	Group 7 - FII	17	Standard	.00	274.22	.00	.00	.00	.00	274.22	16.45	274.22	274.22	USD   	20190603
02550002     	291801	8	Group 8 - NAC	21	Standard Marketing Fund	.00	274.22	.00	.00	.00	.00	274.22	5.48	274.22	274.22	USD   	20190603
03000002     	910701	8	Group 8 - FII	13	Standard	594.64	.00	.00	.00	.00	59.46	594.64	41.62	594.64	654.10	AUD   	20190603
03000002     	910701	9	Group 9 - NAC	15	Standard Marketing Fund	594.64	.00	.00	.00	.00	59.46	594.64	11.89	594.64	654.10	AUD   	20190603
03420002     	940101	7	Group 7 - FII	43	940102	.00	490.00	.00	.00	.00	.00	490.00	.00	490.00	490.00	AED   	20190603
03420002     	940101	8	Group 8 - NAC	45	940102	.00	490.00	.00	.00	.00	.00	490.00	.00	490.00	490.00	AED   	20190603
03420003     	940102	11	Group 11 - FII	19	Standard	2013.75	.00	.00	.00	.00	100.69	2013.75	70.48	2013.75	2114.44	AED   	20190603
03420003     	940102	12	Group 12 - NAC	29	Standard Marketing Fund	2013.75	.00	.00	.00	.00	100.69	2013.75	.00	2013.75	2114.44	AED   	20190603
03420004     	940103	13	Group 13 - FII	37	Standard	700.00	.00	.00	.00	.00	35.00	700.00	24.50	700.00	735.00	AED   	20190603
03420004     	940103	14	Group 14 - NAC	40	Standard Marketing Fund		700.00	.00	.00	.00	.00	35.00	700.00	.00	700.00	735.00	AED   	20190603
03440002     	176101	7	Group 7 - FII	17	Standard	.00	63.55	.00	.00	.00	.00	63.55	3.81	63.55	63.55	USD   	20190603
03440002     	176101	8	Group 8 - NAC	21	Standard Marketing Fund	.00	63.55	.00	.00	.00	.00	63.55	1.27	63.55	63.55	USD   	20190603
01940002     	310301	7	Group 7 - FII	17	Standard	936.25	195.00	.00	.00	.00	58.53	1131.25	67.88	1131.25	1189.78	USD   	20190603
01940002     	310301	8	Group 8 - NAC	21	Standard Marketing Fund	936.25	195.00	.00	.00	.00	58.53	1131.25	22.63	1131.25	1189.78	USD   	20190603
15900002     	177401	7	Group 7 - FII	17	Standard	652.14	605.00	.00	.00	.00	42.40	747.14	22.41	1257.14	1299.54	USD   	20190603
15900002     	177401	8	Group 8 - NAC	21	Standard Marketing Fund	652.14	605.00	.00	.00	.00	42.40	747.14	7.47	1257.14	1299.54	USD   	20190603
16660002     	490101	7	Group 7 - FII	17	Standard	488.65	.00	40.00	.00	.00	34.21	398.65	11.96	448.65	522.86	USD   	20190603
16660002     	490101	7	Group 7 - FII	18	Exempt	353.96	.00	40.00	.00	.00	24.78	40.00	.00	313.96	378.74	USD   	20190603
16660002     	490101	8	Group 8 - NAC	21	Standard Marketing Fund	488.65	.00	40.00	.00	.00	34.21	398.65	3.99	448.65	522.86	USD   	20190603
16660002     	490101	8	Group 8 - NAC	22	Exempt	353.96	.00	40.00	.00	.00	24.78	40.00	.00	313.96	378.74	USD   	20190603
05250004     	175501	1	Group 1 - FII	1	Standard	1877.07	183.00	.00	.00	.00	130.42	1947.07	116.82	2060.07	2190.49	USD   	20190603
05250004     	175501	1	Group 1 - FII	3	Exempt - Monarch Sales (Co-Brand)	120.00	133.00	.00	.00	.00	7.80	113.00	.00	253.00	260.80	USD   	20190603
05250004     	175501	2	Group 2 - NAC	5	Standard	1877.07	183.00	.00	.00	.00	130.42	1947.07	38.94	2060.07	2190.49	USD   	20190603
05250004     	175501	2	Group 2 - NAC	7		Exempt - Monarch Sales (Co-Brand)	120.00	133.00	.00	.00	.00	7.80	113.00	.00	253.00	260.80	USD   	20190603
