00140002     	170901	7	Group 7 - FII	13	Standard	640.00	.00	.00	.00	60.00	44.80	640.00	38.40	700.00	684.80	USD   	20190526
00140002     	170901	8	Group 8 - NAC	15	Standard Marketing Fund	640.00	.00	.00	.00	60.00	44.80	640.00	12.80	700.00	684.80	USD   	20190526
00180004     	270103	15	Group 15 - FII	23	Standard	305.00	.00	.00	.00	.00	22.95	305.00	18.30	305.00	327.95	USD   	20190526
00180004     	270103	16	Group 16 - NAC	31	Standard Marketing Fund	305.00	.00	.00	.00	.00	22.95	305.00	6.10	305.00	327.95	USD   	20190526
00350002     	171801	7	Group 7 - FII	15	Standard	10991.24	4196.98	.00	.00	.00	769.39	15188.22	911.29	15188.22	15957.61	USD   	20190526
00350002     	171801	8	Group 8 - NAC	18	Standard Marketing Fund	10991.24	4196.98	.00	.00	.00	769.39	15188.22	303.76	15188.22	15957.61	USD   	20190526
00450003     	61001	11	Group 11 - FII	17	Standard	113.67	2.00	.00	.00	.00	10.80	115.67	6.94	115.67	126.47	USD   	20190526
00450003     	61001	12	Group 12 - NAC	23	Standard Marketing Fund	113.67	2.00	.00	.00	.00	10.80	115.67	2.31	115.67	126.47	USD   	20190526
00470002     	66801	7	Group 7 - FII	15	Standard	280.00	200.00	.00	.00	.00	21.70	480.00	28.80	480.00	501.70	USD   	20190526
00470002     	66801	8	Group 8 - NAC	18	Standard Marketing Fund	280.00	200.00	.00	.00	.00	21.70	480.00	9.60	480.00	501.70	USD   	20190526
00520002     	50201	7	Group 7 - FII	13	Standard	7421.38	1388.00	1388.00	.00	.00	549.50	7421.38	408.18	7421.38	9518.96	USD   	20190526
00520002     	50201	7	Group 7 - FII	14	Exempt	7421.38	1388.00	1388.00	.00	.00	549.50	1388.00	.00	7421.38	9518.96	USD   	20190526
00520002     	50201	8	Group 8 - NAC	15	Standard Marketing Fund	7421.38	1388.00	1388.00	.00	.00	549.50	7421.38	148.43	7421.38	9518.96	USD   	20190526
00520002     	50201	8	Group 8 - NAC	16	Exempt	7421.38	1388.00	1388.00	.00	.00	549.50	1388.00	.00	7421.38	9518.96	USD   	20190526
00540002     	101101	7	Group 7 - FII	13	Standard	127.28	140.00	.00	.00	.00	12.73	267.28	16.04	267.28	280.01	USD   	20190526
00540002     	101101	8	Group 8 - NAC	15	Standard Marketing Fund	127.28	140.00	.00	.00	.00	12.73	267.28	5.35	267.28	280.01	USD   	20190526
00610002     	281701	7	Group 7 - FII	15	Standard	12135.65	.00	353.62	.00	33.36	1225.70	6218.41	373.10	11800.64	13361.35	USD   	20190526
00610002     	281701	7	Group 7 - FII	16	Exempt	12135.65	.00	353.62	.00	33.36	1225.70	318.77	.00	11800.64	13361.35	USD   	20190526
00610002     	281701	8	Group 8 - NAC	18	Standard Marketing Fund	12135.65	.00	353.62	.00	33.36	1225.70	6218.41	124.37	11800.64	13361.35	USD   	20190526
00610002     	281701	8	Group 8 - NAC	19	Exempt	12135.65	.00	353.62	.00	33.36	1225.70	318.77	.00	11800.64	13361.35	USD   	20190526
00780002     	190301	7	Group 7 - FII	13	Standard	69.00	.00	.00	.00	.00	4.83	69.00	4.14	69.00	73.83	USD   	20190526
00780002     	190301	8	Group 8 - NAC	15	Standard Marketing Fund	69.00	.00	.00	.00	.00	4.83	69.00	1.38	69.00	73.83	USD   	20190526
01150002     	173501	7	Group 7 - FII	13	Standard	2530.70	.00	.00	.00	.00	177.15	2530.70	151.84	2530.70	2707.85	USD   	20190526
01150002     	173501	8	Group 8 - NAC	15	Standard Marketing Fund	2530.70	.00	.00	.00	.00	177.15	2530.70	50.61	2530.70	2707.85	USD   	20190526
01190003     	15902	11	Group 11 - FII	17	Standard	1920.00	.00	.00	.00	.00	158.41	1920.00	115.20	1920.00	2078.41	USD   	20190526
01190003     	15902	12	Group 12 - NAC	23	Standard Marketing Fund	1920.00	.00	.00	.00	.00	158.41	1920.00	38.40	1920.00	2078.41	USD   	20190526
01280002     	102701	7	Group 7 - FII	15	Standard	439.38	160.00	.00	.00	.00	36.25	579.38	34.76	599.38	635.63	USD   	20190526
01280002     	102701	7	Group 7 - FII	16	Exempt	177.50	.00	.00	.00	.00	14.64	20.00	.00	177.50	192.14	USD   	20190526
01280002     	102701	8	Group 8 - NAC	18	Standard Marketing Fund	439.38	160.00	.00	.00	.00	36.25	579.38	11.59	599.38	635.63	USD   	20190526
01280002     	102701	8	Group 8 - NAC	19	Exempt	177.50	.00	.00	.00	.00	14.64	20.00	.00	177.50	192.14	USD   	20190526
01460002     	175201	7	Group 7 - FII	19	Standard	1933.00	375.00	.00	.00	.00	135.31	2297.00	137.82	2308.00	2443.31	USD   	20190526
01460002     	175201	8	Group 8 - NAC	21	Standard Marketing Fund	1933.00	375.00	.00	.00	.00	135.31	2297.00	45.94	2308.00	2443.31	USD   	20190526
02020004     	64401	15	Group 15 - FII	30	Standard	873.00	675.00	.00	.00	.00	67.66	1548.00	92.88	1548.00	1615.66	USD   	20190526
02020004     	64401	16	Group 16 - NAC	39	Standard Marketing Fund	873.00	675.00	.00	.00	.00	67.66	1548.00	30.96	1548.00	1615.66	USD   	20190526
02140002     	64701	7	Group 7 - FII	13	Standard	1260.23	.00	.00	.00	.00	100.82	1260.23	75.61	1260.23	1361.05	USD   	20190526
02140002     	64701	8	Group 8 - NAC	15	Standard Marketing Fund	1260.23	.00	.00	.00	.00	100.82	1260.23	25.20	1260.23	1361.05	USD   	20190526
02390002     	173101	7	Group 7 - FII	13	Standard	6457.99	617.28	617.28	.00	219.30	419.76	5640.71	338.44	6677.29	7992.31	USD   	20190526
02390002     	173101	7	Group 7 - FII	14	Exempt	5879.68	617.28	617.28	.00	.00	382.17	617.28	.00	5879.68	7376.41	USD   	20190526
02390002     	173101	8	Group 8 - NAC	15	Standard Marketing Fund	6457.99	617.28	617.28	.00	219.30	419.76	5640.71	112.81	6677.29	7992.31	USD   	20190526
02390002     	173101	8	Group 8 - NAC	16	Exempt	5879.68	617.28	617.28	.00	.00	382.17	617.28	.00	5879.68	7376.41	USD   	20190526
02500002     	62101	7	Group 7 - FII	25	Standard	326.10	3413.50	.00	.00	.00	26.01	3739.60	224.38	3739.60	3765.61	USD   	20190526
02500002     	62101	8	Group 8 - NAC	29	Standard Marketing Fund	326.10	3413.50	.00	.00	.00	26.01	3739.60	74.79	3739.60	3765.61	USD   	20190526
02840002     	67401	7	Group 7 - FII	17	Standard	2706.00	315.00	.00	.00	.00	209.72	3021.00	181.26	3021.00	3230.72	USD   	20190526
02840002     	67401	8	Group 8 - NAC	21	Standard Marketing Fund	2706.00	315.00	.00	.00	.00	209.72	3021.00	60.42	3021.00	3230.72	USD   	20190526
02850002     	103401	7	Group 7 - FII	17	Standard	312.00	610.00	25.00	.00	.00	31.98	897.00	53.82	897.00	953.98	USD   	20190526
02850002     	103401	7	Group 7 - FII	18	Exempt	207.00	40.00	25.00	.00	.00	21.22	25.00	.00	222.00	268.22	USD   	20190526
02850002     	103401	8	Group 8 - NAC	21	Standard Marketing Fund	312.00	610.00	25.00	.00	.00	31.98	897.00	17.94	897.00	953.98	USD   	20190526
02850002     	103401	8	Group 8 - NAC	22	Exempt	207.00	40.00	25.00	.00	.00	21.22	25.00	.00	222.00	268.22	USD   	20190526
02940002     	65901	7	Group 7 - FII	17	Standard	.00	50.00	.00	.00	.00	.00	50.00	3.00	50.00	50.00	USD   	20190526
02940002     	65901	8	Group 8 - NAC	21	Standard Marketing Fund	.00	50.00	.00	.00	.00	.00	50.00	1.00	50.00	50.00	USD   	20190526
03000002     	910701	8	Group 8 - FII	13	Standard	240.00	.00	.00	.00	.00	24.00	240.00	16.80	240.00	264.00	AUD   	20190526
03000002     	910701	9	Group 9 - NAC	15	Standard Marketing Fund	240.00	.00	.00	.00	.00	24.00	240.00	4.80	240.00	264.00	AUD   	20190526
03040002     	111401	7	Group 7 - FII	17	Standard	11435.79	1276.50	.00	.00	.00	800.52	12412.29	744.74	12587.29	13512.81	USD   	20190526
